metric_name,value,unit,year,category,source
Absolute reduction in carbon emissions,22.0,%,2024,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 2
Tier 1 priority crops sustainably sourced,85.0,%,2024,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 2
Employee and contractor TRIR target,0.18,TRIR,2025,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 4
Significant food safety-related incidents reaching consumers target,0.0,incidents,2025,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 4
Increase in average hours of training per employee target,50.0,%,2027,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 4
Employee and contractor TRIR target,0.15,TRIR,2030,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 4
Assessment of human rights protection practices across agricultural supply chain for Tier 1 priority crops target,100.0,%,2024,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 4
Audit of suppliers meeting high-risk criteria for human rights target,100.0,%,2027,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 4
Circular economy projects,3.0,projects,2025,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 5
New products aligned with UN SDGs,40.0,%,2025,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 5
New products aligned with UN SDGs,75.0,%,2027,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 5
Projects for plastics circular economy,3.0,projects per country,2025,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 6
Reduction in absolute Scopes 1 and 2 GHG emissions,28.0,%,2030,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 6
Reduction in absolute Scope 3 GHG emissions,15.0,%,2030,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 6
Reduction in water use intensity,30.0,%,2030,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 6
Avoidance of waste to landfill,100.0,%,2030,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 6
Reduction in COD or BOD from wastewater discharge,10.0,%,2030,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 6
Sustainable use of forest-based resources (zero deforestation),100.0,%,2030,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 6
Global waxy corn supply sustainably sourced,100.0,%,2022,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Tier 1 priority crops sustainably sourced,100.0,%,2025,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Extremely high water-stressed sourcing geographies with water conservation projects,100.0,%,2025,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Agricultural supply not using pesticides of concern (as defined by the World Health Organization),100.0,%,2025,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Agricultural supply chain with integrated pest management or educated growers,70.0,%,2027,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Tier 1 and 2 priority crops sustainably sourced,100.0,%,2030,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Product or supply chain initiatives in support of plant-based or alternative proteins,5.0,initiatives,2025,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Projects to minimize food waste in supply chain,5.0,projects,2025,Environmental,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Applicable geographies in supply chain with agricultural efficiency initiatives for smallholder farmers,100.0,%,2027,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 7
Number of countries with measurable community impact,10.0,countries,2028,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 8
Average volunteer time per employee,2.0,hours per employee per year,2030,Social,Ingredion 2024 Sustainability Report 10 pages.pdf - page 8
